cellid,userid,freq_updates
002503002860,-8918278571662840000,1
030653002863,-8918278571662840000,1
020622002861,-8918278571662840000,1
051253002862,-8918278571662840000,1
004337002824,-8918278571662840000,1
004292004505,-8918278571662840000,1
001321002570,-8918278571662840000,1
032907002864,-8918278571662840000,1
047777004560,-8918278571662840000,1
004151002812,-8918278571662840000,1
020087002860,-8918278571662840000,1
006022004505,-8918278571662840000,1
022789002864,-8918278571662840000,1
038853002862,-8918278571662840000,1
012437002863,-8918278571662840000,1
022542002860,-8918278571662840000,1
001001002807,-8918278571662840000,1
004212002862,-8918278571662840000,1
002509002860,-8918278571662840000,1
035741002868,-8918278571662840000,1
005762000605,-8918278571662840000,1
039522002862,-8918278571662840000,1
002162002818,-8918278571662840000,1
016163002863,-8918278571662840000,1
026643002863,-8918278571662840000,1
048563002862,-8918278571662840000,1
000261000604,-8918278571662840000,1
046963004560,-8918278571662840000,1
045567004560,-8918278571662840000,1
052153002862,-8918278571662840000,1
030489002861,-8918278571662840000,1
046451004570,-8918278571662840000,1
025173002862,-8918278571662840000,1
030133002862,-8918278571662840000,1
004521002824,-8918278571662840000,1
030607002860,-8918278571662840000,1
006303004505,-8918278571662840000,1
000523002820,-8918278571662840000,1
000751005061,-8918278571662840000,1
014152002862,-8918278571662840000,1
022861002860,-8918278571662840000,1
020919002864,-8918278571662840000,1
010008002861,-8918278571662840000,1
000626002812,-8918278571662840000,1
000721005061,-8918278571662840000,1
012483002862,-8918278571662840000,1
012298002864,-8918278571662840000,1
035747002868,-8918278571662840000,1
034992002864,-8918278571662840000,1
031157002864,-8918278571662840000,1
032633002864,-8918278571662840000,1
003054002813,-8918278571662840000,1
059552002867,-8918278571662840000,1
058723002862,-8918278571662840000,1
037347002864,-8918278571662840000,1
062516002860,-8918278571662840000,1
001131005061,-8918278571662840000,1
005161002822,-8918278571662840000,1
000552000604,-8918278571662840000,1
002171002813,-8918278571662840000,1
048387002862,-8918278571662840000,1
005375002806,-8918278571662840000,1
022543002860,-8918278571662840000,1
004111002822,-8918278571662840000,1
058431002863,-8918278571662840000,1
003593002868,-8918278571662840000,1
045033002860,-8918278571662840000,1
034717002860,-8918278571662840000,1
047138004560,-8918278571662840000,1
052173005064,-8918278571662840000,1
000121002860,-8918278571662840000,1
004333002824,-8918278571662840000,1
047473004570,-8918278571662840000,1
045528004570,-8918278571662840000,1
030122002862,-8918278571662840000,1
001131002819,-8918278571662840000,1
051243002862,-8918278571662840000,1
037147002863,-8918278571662840000,1
020341002861,-8918278571662840000,1
001151005061,-8918278571662840000,1
000241002863,-8918278571662840000,1
059559002867,-8918278571662840000,1
000801005061,-8918278571662840000,1
005052002806,-8918278571662840000,1
020747001960,-8891093604014150000,8
020527001960,-8891093604014150000,4
020141001960,-8891093604014150000,4
000401005061,-8891093604014150000,2
019603001960,-8891093604014150000,2
000351005061,-8891093604014150000,1
001932001902,-8891093604014150000,1
019698001960,-8891093604014150000,1
001931001902,-8891093604014150000,1
001211001902,-8891093604014150000,1
006742003060,-8851649528461290000,4
001871003004,-8851649528461290000,3
001861003008,-8851649528461290000,3
001862003008,-8851649528461290000,3
000062003005,-8851649528461290000,2
000633003003,-8851649528461290000,1
006502003060,-8851649528461290000,1
001572003008,-8851649528461290000,1
002422003005,-8851649528461290000,1
000691003008,-8851649528461290000,1
006192003062,-8851649528461290000,1
000073003008,-8851649528461290000,1
021661000865,-8850508488028250000,1
002906003008,-8849644733170670000,3
000041003003,-8849644733170670000,2
004319003060,-8849644733170670000,2
002907003008,-8849644733170670000,1
004313003060,-8849644733170670000,1
000622003003,-8849644733170670000,1
000085002001,-8834427383809970000,3
000043002060,-8834427383809970000,2
006742003060,-8833215536394970000,2
007133003061,-8833215536394970000,1
034967002862,-8827356440405150000,10
031407002862,-8827356440405150000,8
004011002821,-8827356440405150000,6
002182002821,-8827356440405150000,4
048387002862,-8827356440405150000,4
010932002867,-8827356440405150000,4
026719002867,-8827356440405150000,3
005321002862,-8827356440405150000,3
012167002867,-8827356440405150000,3
031401002862,-8827356440405150000,3
012161002867,-8827356440405150000,3
030078002862,-8827356440405150000,3
030982002868,-8827356440405150000,3
001901002821,-8827356440405150000,2
002509002860,-8827356440405150000,2
000172002815,-8827356440405150000,2
030857002862,-8827356440405150000,2
025073002860,-8827356440405150000,1
004173002818,-8827356440405150000,1
020339002864,-8827356440405150000,1
011311002862,-8827356440405150000,1
005702002862,-8827356440405150000,1
038201002868,-8827356440405150000,1
022643002867,-8827356440405150000,1
005352002825,-8827356440405150000,1
051253002862,-8827356440405150000,1
030077002862,-8827356440405150000,1
005063002825,-8827356440405150000,1
001213002815,-8827356440405150000,1
034627002862,-8827356440405150000,1
001081002815,-8827356440405150000,1
035747002868,-8827356440405150000,1
034519002862,-8827356440405150000,1
014692000871,-8806173728496550000,10
008667000866,-8806173728496550000,8
023611000845,-8806173728496550000,7
001031000870,-8806173728496550000,4
014691000871,-8806173728496550000,4
012654000864,-8806173728496550000,4
025451000805,-8806173728496550000,3
020531000845,-8806173728496550000,2
007383000864,-8806173728496550000,2
007381000864,-8806173728496550000,2
025214000870,-8806173728496550000,1
001433000866,-8806173728496550000,1
000944000864,-8806173728496550000,1
027662000845,-8806173728496550000,1
029809000870,-8806173728496550000,1
007384000864,-8806173728496550000,1
000167000864,-8806173728496550000,1
003805000860,-8806173728496550000,1
029807000870,-8806173728496550000,1
000241002863,-8796489109603190000,263
019682001960,-8796489109603190000,18
010948002867,-8796489109603190000,17
049208002864,-8796489109603190000,16
002192002818,-8796489109603190000,13
036381002867,-8796489109603190000,5
026413002867,-8796489109603190000,3
034843002867,-8796489109603190000,3
048362002866,-8796489109603190000,2
047401002867,-8796489109603190000,2
051451002864,-8796489109603190000,2
030122002862,-8796489109603190000,2
051454002864,-8796489109603190000,2
039227002864,-8796489109603190000,2
004253002833,-8796489109603190000,2
031041002864,-8796489109603190000,1
035642002862,-8796489109603190000,1
039221002864,-8796489109603190000,1
001092002833,-8796489109603190000,1
032901002864,-8796489109603190000,1
010438002862,-8796489109603190000,1
010168002862,-8796489109603190000,1
006510002833,-8796489109603190000,1
051455002864,-8796489109603190000,1
022837002863,-8796489109603190000,1
032903002864,-8796489109603190000,1
032711002864,-8796489109603190000,1
004256002833,-8796489109603190000,1
010552002862,-8796489109603190000,1
034849002867,-8796489109603190000,1
005244002818,-8796489109603190000,1
017721002863,-8796489109603190000,1
002234002818,-8796489109603190000,1
000702002807,-8796489109603190000,1
000802002817,-8796489109603190000,1
007167000864,-8791620045920390000,285
000398000866,-8791620045920390000,167
001909000866,-8791620045920390000,39
040347000865,-8791620045920390000,37
007161000864,-8791620045920390000,24
021571000805,-8791620045920390000,18
011764000810,-8791620045920390000,14
001903000866,-8791620045920390000,9
017333000841,-8791620045920390000,8
000344000865,-8791620045920390000,7
000395000866,-8791620045920390000,5
009012000871,-8791620045920390000,5
002941000864,-8791620045920390000,4
023122000805,-8791620045920390000,4
030431000810,-8791620045920390000,3
014681000871,-8791620045920390000,3
040279000866,-8791620045920390000,3
005917002570,-8791620045920390000,3
007522000871,-8791620045920390000,3
004059000864,-8791620045920390000,3
001906000866,-8791620045920390000,3
020591000814,-8791620045920390000,2
002817000864,-8791620045920390000,2
011171000805,-8791620045920390000,2
010061002502,-8791620045920390000,2
023352000866,-8791620045920390000,2
011832000833,-8791620045920390000,2
012084000864,-8791620045920390000,2
000381000864,-8791620045920390000,2
001037000870,-8791620045920390000,2
007169000864,-8791620045920390000,2
000392000866,-8791620045920390000,2
000677000864,-8791620045920390000,2
023621000814,-8791620045920390000,2
030723000805,-8791620045920390000,2
011934000841,-8791620045920390000,1
030232000805,-8791620045920390000,1
004003000864,-8791620045920390000,1
020971000805,-8791620045920390000,1
000909000864,-8791620045920390000,1
010677002560,-8791620045920390000,1
007433000871,-8791620045920390000,1
009011000871,-8791620045920390000,1
025481000805,-8791620045920390000,1
011261000871,-8791620045920390000,1
002027000871,-8791620045920390000,1
012151000871,-8791620045920390000,1
007521000871,-8791620045920390000,1
010787002570,-8791620045920390000,1
028982000864,-8791620045920390000,1
027558002570,-8791620045920390000,1
019873000805,-8791620045920390000,1
033862000865,-8791620045920390000,1
030443000853,-8791620045920390000,1
020972000805,-8791620045920390000,1
005919002570,-8791620045920390000,1
000347000865,-8791620045920390000,1
007782000864,-8791620045920390000,1
020193000870,-8791620045920390000,1
020957000864,-8791620045920390000,1
001026000864,-8791620045920390000,1
023121000805,-8791620045920390000,1
024811000805,-8791620045920390000,1
007231000870,-8791620045920390000,1
